Source Sentence,Target Sentence
2. Any proposed amendment to this Convention shall be considered by an Administrative Committee composed of all the Contracting Parties in accordance with the Rules of Procedure set out in Annex 8. Any such amendment considered or prepared during the meeting of the Administrative Committee and adopted by it by a two-thirds majority of the members present and voting shall be communicated by the Secretary-General of the United Nations to the Contracting Parties for their acceptance.,2 . Tout amendement proposé à la présente convention sera examiné par un comité de gestion composé de toutes les parties contractantes conformément au règlement intérieur faisant l'objet de l'annexe 8 . Tout amendement de cette nature examiné ou élaboré au cours de la réunion du comité de gestion et adopté par le comité à la majorité des deux tiers de ses membres présents et votants sera communiqué par le secrétaire général de l'Organisation des Nations unies aux parties contractantes pour acceptation .
"3. Except as provided for under Article 60, any proposed amendment communicated in accordance with the preceding paragraph shall come into force with respect to all Contracting Parties three months after the expiry of a period of 12 months following the date of communication of the proposed amendment during which period no objection to the proposed amendment has been communicated to the Secretary-General of the United Nations by a State which is a Contracting Party.","3 . Sous réserve des dispositions de l'article 60 , tout amendement proposé communiqué en application des dispositions du paragraphe précédent entrera en vigueur pour toutes les parties contractantes trois mois après l'expiration d'une période de douze mois suivant la date à laquelle la communication a été faite , si pendant cette période aucune objection à l'amendement proposé n'a été notifié au secrétaire général de l'Organisation des Nations unies par un Etat qui est partie contractante ."
"4. If an objection to the proposed amendment has been communicated in accordance with paragraph 3 of this Article, the amendment shall be deemed not to have been accepted and shall have no effect whatsoever.","4 . Si une objection à l'amendement proposé a été notifiée conformément aux dispositions du présent article paragraphe 3 , l'amendement sera réputé ne pas avoir été accepté et n'aura aucun effet ."
Article 60,Article 60
Special procedure for amending Annexes 1 to 7,"Procédure spéciale d'amendement des annexes 1 , 2 , 3 , 4 , 5 , 6 et 7"
"1. Any proposed amendment to Annexes 1 to 7 considered in accordance with Article 59 (1) and (2) shall come into force on a date to be determined by the Administrative Committee at the time of its adoption unless, by a prior date determined by the Administrative Committee at the same time, one fifth or five of the States which are Contracting Parties, whichever number is less, notify the Secretary-General of the United Nations of their objection to the amendment. Determination by the Administrative Committee of the dates referred to in this paragraph shall be by a two thirds majority of those present and voting.","1 . Tout amendement proposé aux annexes 1 , 2 , 3 , 4 , 5 , 6 et 7 , examiné conformément au dispositions de l'article 59 paragraphes 1 et 2 , entrera en vigueur à une date qui sera fixée par le comité de gestion au moment de son adoption , à moins que , à une date antérieure , que fixera le comité de gestion au même moment , un cinquième des Etats qui sont parties contractantes ou cinq Etats qui sont parties contractantes , si ce chiffre est inférieur , aient notifié au secrétaire général de l'Organisation des Nations unies qu'ils élèvent des objections contre l'amendement . Les dates visées au présent paragraphe seront fixées par le comité de gestion à la majorité des deux tiers de ses membres présents et votants ."
"2. On entry into force, any amendment adopted in accordance with the procedures set out in paragraph 1 above shall for all Contracting Parties replace and supersede any previous provisions to which the amendment refers.","2 . A son entrée en vigueur , un amendement adopté conformément à la procédure prévue au paragraphe 1 ci-dessus remplacera , pour toutes les parties contractantes , toute disposition précédente à laquelle il se rapporte ."
Article 61,Article 61
"Requests, communications and objections","Demandes , communications et objections"
"The Secretary-General of the United Nations shall inform all Contracting Parties and all States referred to in Article 52 (1) of this Convention of any request, communication or objection under Articles 59 and 60 above and of the date on which any amendment enters into force.","Le secrétaire général de l'Organisation des Nations unies informera toutes les parties contractantes et tous les Etats visés à l'article 52 paragraphe 1 de la présente convention , de toute demande , communication ou objection faite en vertu des articles 59 et 60 ci-dessus et de la date d'entrée en vigueur d'un amendement ."
Article 62,Article 62
Review conference,Conférence de révision
"1. Any State which is a Contracting Party may, by notification to the Secretary-General of the United Nations, request that a conference be convened for the purpose of reviewing this Convention.","1 . Un Etat qui est partie contractante pourra , par notification adressée au secrétaire général de l'Organisation des Nations unies , demander la convocation d'une conférence à l'effet de réviser la présente convention ."
"2. A review conference, to which all Contracting Parties and all States referred to in Article 52 (1) shall be invited, shall be convened by the Secretary-General of the United Nations if, within a period of six months following the date of notification by the Secretary-General, not less than one fourth of the States which are Contracting Parties notify him of their concurrence with the request.","2 . Une conférence de révision , à laquelle seront invités toutes les parties contractantes et tous les Etats visés à l'article 52 paragraphe 1 , sera convoquée par le secrétaire général de l'Organisation des Nations unies si , dans un délai de six mois à compter de la date à laquelle le secrétaire général de l'Organisation des Nations unies aura communiqué la notification , un quart au moins des Etats qui sont parties contractantes lui signifient leur assentiment à la demande ."
"3. A review conference, to which all Contracting Parties and all States referred to in Article 52 (1) shall be invited, shall also be convened by the Secretary-General of the United Nations upon notification of a request by the Administrative Committee. The Administrative Committee shall make a request if agreed to by a majority of those present and voting in the Committee.",3 . Une conférence de révision à laquelle seront invités toutes les parties contractantes et tous les Etats visés à l'article 52 paragraphe 1 sera convoquée également par le secrétaire général de l'Organisation des Nations unies dès notification d'une requête à cet effet du comité de gestion . Le comité de gestion décidera s'il y a lieu de formuler une telle requête à la mojorité de ses membres présents et votants .
"4. If a conference is convened in pursuance of paragraph 1 or 3 of this Article, the Secretary-General of the United Nations shall so advise all the Contracting Parties and invite them to submit, within a period of three months, the proposals which they wish the conference to consider. The Secretary-General of the United Nations shall circulate to all Contracting Parties the provisional agenda for the conference, together with the texts of such proposals, at least three months before the date on which the conference is to meet.","4 . Si une conférence est convoquée en application des dispositions du présent article paragraphes 1 ou 3 , le secrétaire général de l'Organisation des Nations unies en avisera toutes les parties contractantes et les invitera à soumettre , dans un délai de trois mois , les propositions qu'elles voudraient voir examiner par la conférence . Le secrétaire général de l'Organisation des Nations unies fera tenir à toutes les parties contractantes l'ordre du jour provisoire de la conférence et les textes de ces propositions trois mois au moins avant la date d'ouverture de la conférence ."
Article 63,Article 63
Notifications,Notifications
"In addition to the notifications and communications provided for in Articles 61 and 62, the Secretary-General of the United Nations shall notify all the States referred to in Article 52 of the following: (a) signatures, ratifications, acceptances, approvals and accessions under Article 52;",
(b) the dates of entry into force of this Convention in accordance with Article 53;,b ) les dates d'entrée en vigueur de la présente convention conformément à l'article 53 ;
(c) denunciations under Article 54;,c ) les dénonciations au titre de l'article 54 ;
(d) the termination of this Convention under Article 55;,d ) l'extinction de la présente convention au titre de l'article 55 ;
(e) reservations under Article 58.,e ) les réserves formulées au titre de l'article 58 .
Article 64,Article 64
Authentic text,Texte authentique
"After 31 December 1976, the original of this Convention shall be deposited with the Secretary-General of the United Nations, who shall transmit certified true copies to each of the Contracting Parties and to the States referred to in Article 52 (1) which are not Contracting Parties.","Après le 31 décembre 1976 , l'original de la présente convention sera déposé auprès du secrétaire général de l'Organisation des Nations unies , qui en transmettra des copies certifiées conformes à chacune des parties contractantes et à chacun des Etats visés à l'article 52 paragraphe 1 , qui ne sont pas parties contractantes ."
COOPERATION AGREEMENT BETWEEN THE EUROPEAN ATOMIC ENERGY COMMUNITY AND THE INTERNATIONAL ATOMIC ENERGY AGENCY (75/780/Euratom),ACCORD DE COOPÉRATION ENTRE LA COMMUNAUTÉ EUROPÉENNE DE L'ÉNERGIE ATOMIQUE ET L'AGENCE INTERNATIONALE DE L'ÉNERGIE ATOMIQUE (75/780/Euratom)
Article I,Article premier
Cooperation and consultation,Coopération et consultation
"The International Atomic Energy Agency (hereinafter referred to as %quot%the Agency%quot%) and the European Atomic Energy Community (hereinafter referred to as %quot%the Community%quot%), with a view to promoting the attainment of the objectives laid down by the Statute of the Agency and the Treaty establishing the Community, agree to act in close cooperation. The Contracting Parties shall consult each other regularly on matters of mutual interest with a view to harmonizing their efforts, as far as possible, having due regard to their respective characters and objectives.","l'Agence internationale de l'énergie atomique (ci-après dénommée «Agence») et la Communauté européenne de l'énergie atomique (ci-après dénommée «Communauté») conviennent que, en vue de faciliter la réalisation des fins définies par le statut de l'Agence et le traité instituant la Communauté, elles agiront en coopération étroite. Les parties contractantes se consulteront régulièrement en ce qui concerne les questions présentant un intérêt commun, en vue d'harmoniser leurs efforts dans la mesure du possible, compte tenu de leurs natures et de leurs missions respectives."
Article II,Article II
Representation,Représentation
"1. The Community shall be invited to be represented at the regular annual sessions of the General Conference of the Agency and its representatives may participate, without the right to vote, in the deliberations of that body and, where appropriate, of its committees with respect to items on their agenda in which the Community has an interest.","1. La Communauté sera invitée à se faire représenter aux sessions ordinaires annuelles de la conférence générale de l'Agence et ses représentants pourront participer, sans droit de vote, aux délibérations de cet organe et, s'il y a lieu, de ses Commissions, en ce qui concerne les questions à l'ordre du jour qui intéressent la Communauté."
2. The Agency and the Community shall also make any necessary arrangements for ensuring reciprocal representation at appropriate meetings convened under their respective auspices.,2. L'Agence et la Communauté prendront en outre les dispositions nécessaires en vue d'assurer une représentation réciproque aux réunions appropriées convoquées sous leurs auspices respectifs.
Article III,Article III
Exchange of information and documents,Échange de renseignements et de documents
"The Agency and the Community shall undertake a full exchange of information and documents, subject to such restrictions and arrangements as may be considered necessary by either Contracting Party to preserve the confidential nature of certain information and documents.","L'Agence et la Communauté procéderont à un large échange de renseignements et de documents, sous réserve des restrictions et des arrangements que chaque partie contractante pourrait juger nécessaires pour sauvegarder le caractère confidentiel de certains renseignements et documents."
Article IV,Article IV
Administrative and technical cooperation,Coopération administrative et technique
"If the cooperation proposed by one of the Contracting Parties to the other in accordance with this Agreement entails expenditure beyond the ordinary running expenses, consultations shall be held between the Agency and the Community to determine the most equitable way of meeting this expenditure.","Si la coopération proposée par l'une des parties contractantes à l'autre conformément au présent accord entraîne des dépenses qui dépassent celles d'administration courante, il sera procédé entre l'Agence et la Communauté à des consultations en vue de déterminer la manière la plus équitable de faire face à de telles dépenses."
Article V,Article V
Implementation of the Agreement,Exécution de l'accord
The Director General of the Agency and the Commission of the European Communities may make the arrangements necessary for ensuring satisfactory implementation of this Agreement.,Le directeur général de l'Agence et la Commission des Communautés européennes pourront conclure des arrangements nécessaires afin d'assurer la bonne exécution du présent accord.
Article VI,Article VI
Notification to the United Nations and filing and recording,Notification à l'Organisation des Nations unies Classement et inscription au répertoire
"1. In accordance with its Agreement with the United Nations, the Agency shall inform the United Nations forthwith of the terms of this Agreement.","1. Conformément à l'accord qu'elle a conclu avec l'Organisation des Nations unies, l'Agence informera celle-ci sans délai des termes du présent accord."
"2. On the coming into force of this Agreement in accordance with the provisions of Article VIII, the Agency shall communicate it to the Secretary-General of the United Nations for filing and recording.","2. Dès l'entrée en vigueur du présent accord conformément aux dispositions de l'article VIII, l'Agence le communique au secrétaire général de l'Organisation des Nations unies, aux fins de classement et d'inscription au répertoire."
Article VII,Article VII
Termination of the Agreement,Dénonciation de l'accord
"Either Contracting Party may terminate this Agreement, subject to six months' notice.","Chacune des parties contractantes pourra dénoncer le présent accord, en donnant un préavis de six mois à l'autre partie."
Article VIII,Article VIII
Entry into force,Entrée en vigueur
This Agreement shall enter into force on the first day of the month following the date on which the Contracting Parties shall have notified each other that the internal procedures necessary to this end have been completed (1).,Le présent accord entrera en vigueur le premier jour du mois suivant la date à laquelle les parties contractantes se seront notifié l'accomplissement des procédures internes nécessaires à cet effet (1).
Article IX,Article IX
Languages,Langues
"This Agreement has been drawn up in duplicate, in English and French, both texts being equally authentic.","Le présent accord a été rédigé, en double exemplaire, en langues anglaise et française, les deux textes faisant également foi."
"In view of the respective needs of the Contracting Parties, the Agency shall prepare official translations of this Agreement into Russian and Spanish, and the Community shall prepare official translations into Danish, Dutch, German and Italian.","En vue des besoins respectifs des parties contractantes, l'Agence établira des traductions officielles du présent accord en langues espagnole et russe, et la Communauté des traductions officielles en langues allemande, danoise, italienne et néerlandaise."
PROTOCOL concerning cooperation in combating pollution of the Mediterranean Sea by oil and other harmful substances in cases of emergency,
"THE CONTRACTING PARTIES TO THE PRESENT PROTOCOL,","LES PARTIES CONTRACTANTES AU PRESENT PROTOCOLE ,"
"BEING PARTIES to the Convention for the Protection of the Mediterranean Sea against Pollution,","ETANT PARTIES à la convention pour la protection de la mer Méditerranée contre la pollution ,"
"RECOGNIZING that grave pollution of the sea by oil and other harmful substances in the Mediterranean Sea area involves a danger for the coastal States and the marine ecosystem,","RECONNAISSANT qu'une pollution grave des eaux de la zone de la mer Méditerrannée par les hydrocarbures et autres substances nuisibles peut créer un danger pour les Etats riverains et les écosystèmes marins ,"
"CONSIDERING that the cooperation of all the coastal States of the Mediterranean is called for to combat this pollution,","ESTIMANT que la lutte contre cette pollution appelle la coopération de tous les Etats riverains de la Méditerranée ,"
"BEARING IN MIND the International Convention for the Prevention of Pollution from Ships, 1973, the International Convention relating to Intervention on the High Seas in Cases of Oil Pollution Casualties, 1969, as well as the Protocol relating to Intervention on the High Seas in Cases of Marine Pollution by Substances Other than Oil, 1973,","AYANT A L'ESPRIT la convention internationale de 1973 pour la prévention de la pollution par les navires , la convention internationale de 1969 sur l'intervention en haute mer en cas d'accident entraînant ou pouvant entraîner une pollution par les hydrocarbures , ainsi que le protocole de 1973 sur l'intervention en haute mer en cas de pollution par des substances autres que des hydrocarbures ,"
"FURTHER TAKING INTO ACCOUNT the International Convention on Civil Liability for Oil Pollution Damage, 1969,","TENANT COMPTE EGALEMENT de la convention internationale de 1969 sur la responsabilité civile pour les dommages dus à la pollution par les hydrocarbures ,"
HAVE AGREED AS FOLLOWS:,SONT CONVENUES DE CE QUI SUIT :
Article 1,Article premier
"The Contracting Parties to this Protocol (hereinafter referred to as %quot%the Parties%quot%) shall cooperate in taking the necessary measures in cases of grave and imminent danger to the marine environment, the coast or related interests of one or more of the Parties due to the presence of massive quantities of oil or other harmful substances resulting from accidental causes or an accumulation of small discharges which are polluting or threatening to pollute the sea within the area defined in Article 1 of the Convention for the Protection of the Mediterranean Sea against Pollution (hereinafter referred to as %quot%the Convention%quot%).","Les parties contractantes au présent protocole ( ci-après dénommées %quot% les parties %quot% ) coopèrent pour prendre les dispositions nécessaires au cas où la présence massive , d'origine accidentelle ou résultant d'un effet cumulatif , d'hydrocarbures ou d'autres substances nuisibles polluant ou risquant de polluer les eaux de la zone définie à l'article 1er de la convention pour la protection de la mer Méditerranée contre la pollution ( ci-après dénommée %quot% la convention %quot% ) , constitue un danger grave et imminent pour le milieu marin , les côtes ou les intérêts connexes d'une ou plusieurs parties ."
Article 2,Article 2
"For the purpose of this Protocol, the term %quot%related interests%quot% means the interests of a coastal State directly affected or threatened and concerning, among others: (a) activities in coastal waters, in ports or estuaries, including fishing activities;",
"(b) the historical and tourist appeal of the area in question, including water sports and recreation;","b ) à l'attrait historique et touristique , y compris les sports aquatiques et autres activités récréatives , de la région considérée ;"
(c) the health of the coastal population;,c ) à la santé des populations côtières ;
(d) the preservation of living resources.,d ) à la conservation des ressources vivantes .
Article 3,Article 3
"The Parties shall endeavour to maintain and promote, either individually or through bilateral or multilateral cooperation, their contingency plans and means for combating pollution of the sea by oil and other harmful substances. These means shall include, in particular, equipment, ships, aircraft and manpower prepared for operations in cases of emergency.","Les parties s'efforcent de maintenir et de promouvoir , soit individuellement , soit en coopération bilatérale ou multilatérale , leurs plans d'urgence et leurs moyens de lutte contre la pollution de la mer par les hydrocarbures et autres substances nuisibles . Ces moyens comprennent notamment les équipements , les navires , les aéronefs et les personnels nécessaires aux opérations en cas de situation critique ."
Article 4,Article 4
"The Parties shall develop and apply, either individually or through bilateral or multilateral cooperation, monitoring activities covering the Mediterranean Sea area in order to have as precise information as possible on the situations referred to in Article 1 of this Protocol.","Les parties développent et mettent en oeuvre , soit individuellement , soit en coopération bilatérale ou multilatérale , une surveillance active de la zone de la mer Méditerranée afin d'avoir une connaissance aussi précise que possible des faits définis à l'article 1er du présent protocole ."
Article 5,Article 5
"In the case of release or loss overboard of harmful substances in packages, freight containers, portable tanks or road and rail tank wagons, the Parties shall cooperate as far as practicable in the salvage and recovery of such substances so as to reduce the danger of pollution of the marine environment.","En cas de jet ou de chute à la mer de substances nuisibles en colis , conteneurs , citernes mobiles , camions-citernes ou wagons citernes , les parties s'engagent à coopérer dans la mesure du possible à leur sauvetage et à leur récupération de manière à réduire les risques de pollution du milieu marin ."
Article 6,Article 6
1. Each Party undertakes to disseminate to the other Parties information concerning: (a) the competent national organization or authorities responsible for combating pollution of the sea by oil and other harmful substances;,
(b) the competent national authorities responsible for receiving reports of pollution of the sea by oil and other harmful substances and for dealing with matters concerning measures of assistance between Parties;,b ) les autorités nationales compétentes chargées de recevoir les informations concernant la pollution de la mer par les hydrocarbures et autres substances nuisibles et de traiter des affaires d'assistance entre les parties ;
"(c) new ways in which pollution of the sea by oil and other harmful substances may be avoided, new measures of combating pollution and the development of related research programmes.","c ) les méthodes nouvelles en matière de prévention de la pollution de la mer par les hydrocarbures et autres substances nuisibles , les procédés nouveaux pour combattre la pollution , et le développement de programmes de recherches y afférents ."
"2. Parties which have agreed to exchange information directly between themselves shall nevertheless communicate such information to the regional centre. The latter shall communicate this information to the other Parties and, on a basis of reciprocity, to coastal States of the Mediterranean Sea area which are not Parties to this Protocol.","2 . Les parties qui , le cas échéant , sont convenues d'échanger directement entre elles ces informations sont néanmoins tenues de les communiquer au centre régional . Ce dernier en assure la communication aux autres parties et , sous réserve de réciprocité , aux Etats riverains de la zone de la mer Méditerranée qui ne sont pas parties au présent protocole ."
Article 7,Article 7
"The Parties undertake to coordinate the utilization of the means of communication at their disposal in order to ensure, with the necessary speed and reliability, the reception, transmission and dissemination of all reports and urgent information which relate to the occurrences and situations referred to in Article 1. The regional centre shall have the necessary means of communication to enable it to participate in this coordinated effort and, in particular, to fulfil the functions assigned to it by paragraph 2 of Article 10.","Les parties s'engagent à coordonner l'utilisation des moyens de communication dont elles disposent pour assurer , avec la fiabilité et la rapidité nécessaires , la réception , la transmission et la diffusion de tous rapports et informations urgentes relatifs aux faits et situations définis à l'article 1er . Le centre régional sera doté des moyens de communication qui lui permettront de participer à cet effort coordonné et , notamment , de remplir les fonctions qui lui sont assignées par le paragraphe 2 de l'article 10 ."
Article 8,Article 8
"1. Each Party shall issue instructions to the masters of ships flying its flag and to the pilots of aircraft registered in its territory requiring them to report by the most rapid and adequate channels in the circumstances, and in accordance with Annex I to this Protocol, either to a Party or to the regional centre: (a) all accidents causing or likely to cause pollution of the sea by oil or other harmful substances;",
"(b) the presence, characteristics and extent of spillages of oil or other harmful substances observed at sea which are likely to present a serious and imminent threat to the marine environment or to the coast or related interests of one or more of the Parties.","b ) la présence , les caractéristiques et l'étendue des nappes d'hydrocarbures ou de substances nuisibles repérées en mer et de nature à constituer une menace grave et imminente pour le milie marin , pour les côtes ou les intérêts connexes d'une ou plusieurs parties ."
"2. The information collected in accordance with paragraph 1 shall be communicated to the other Parties likely to be affected by the pollution: (a) by the Party which has received the information, either directly or preferably, through the regional centre ; or",
(b) by the regional centre.,b ) soit par le centre régional .
"In case of direct communication between Parties, the regional centre shall be informed of the measures taken by these Parties.","En cas de communication directe entre parties , le centre régional sera informé des dispositions prises par ces parties ."
"3. In consequence of the application of the provisions of paragraph 2, the Parties are not bound by the obligation laid down in Article 9, paragraph 2, of the Convention.","3 . En conséquence de l'application des dispositions du paragraphe 2 , les parties ne sont pas tenues à l'obligation prévue à l'article 9 paragraphe 2 de la convention ."
Article 9,Article 9
"1. Any Party faced with a situation of the kind defined in Article 1 of this Protocol shall: (a) make the necessary assessments of the nature and extent of the casualty or emergency or, as the case may be, of the type and approximate quantity of oil or other harmful substances and the direction and speed of drift of the spillage:",
"(b) take every practicable, measure to avoid or reduce the effects of pollution;",b ) prendre toutes mesures susceptibles d'éliminer ou de réduire les effets résultant de la pollution ;
"(c) immediately inform all other Parties, either directly or through the regional centre, of these assessments and of any action which it has taken or which it intends to take to combat the pollution;","c ) informer immédiatement les autres parties , soit directement , soit par l'intermédiaire du centre régional , de ces évaluations et de toute action entreprise ou prévue pour lutter contre la pollution ;"
(d) continue to observe the situation for as long as possible and report thereon in accordance with Article 8.,d ) continuer à observer la situation aussi longtemps que possible et faire rapport conformément à l'article 8 .
"2. Where action is taken to combat pollution originating from a ship, all possible measures shall be taken to safeguard the persons present on board and, to the extent possible, the ship itself. Any Party which takes such action shall inform the Inter-Governmental Maritime Consultative Organization.","2 . En cas d'action pour combattre la pollution provenant d'un navire , toutes les mesures possibles devront être prises pour sauvegarder les personnes presentes à bord et , autant que faire se peut , le navire lui-même . Toute partie qui entreprend une telle action doit en informer l'Organisation intergouvernementale consultative de la navigation maritime ."
Article 10,Article 10
"1. Any Party requiring assistance for combating pollution by oil or other harmful substances polluting or threatening to pollute its coasts may call for assistance from other Parties, either directly or through the regional centre referred to in Article 6, starting with the Parties which appear likely to be affected by the pollution. This assistance may comprise, in particular, expert advice and the supply to, or placing at the disposal of, the Party concerned of products, equipment and nautical facilities. Parties so requested shall use their best endeavours to render this assistance.","1 . Toute partie ayant besoin d'assistance pour une opération de lutte contre la pollution par les hydrocarbures ou autres substances nuisibles polluant ou menaçant de polluer ses côtes peut demander , soit directement , soit par l'intermédiaire du centre régional visé à l'article 6 , le concours d'autres parties , celles qui sont susceptibles d'être également affectées par la pollution étant sollicitées en premier lieu . Ce concours peut comporter notamment des conseils d'experts et la fourniture ou mise à disposition de produits , d'équipement et de moyens nautiques . Les parties ainsi sollicitées font tous les efforts possibles pour apporter leur concours ."
"2. Where the Parties engaged in an operation to combat pollution cannot agree on the organization of the operation, the regional centre may, with their approval, coordinate the activity of the facilities put into operation by these Parties.","2 . Si les parties engagées dans l'opération ne peuvent s'entendre sur la conduite même de la lutte , le centre régional peut avec leur accord , coordonner l'activité des moyens mis en oeuvre par ces parties ."
Article 11,Article 11
"The application of the relevant provisions of Articles 6, 7, 8, 9 and 10 of this Protocol relating to the regional centre shall be extended, as appropriate, to sub-regional centres in the event of their establishment, taking into account their objectives and functions and their relationship with the said regional centre.","L'application des dispositions pertinentes des articles 6 , 7 , 8 , 9 et 10 du présent protocole concernant le centre régional sera étendue selon qu'il conviendra aux centres sous-régionaux lors de leur création éventuelle , compte tenu de leurs objectifs et fonctions ainsi que de leur relation avec ledit centre régional ."
Article 12,Article 12
"1. Ordinary meetings of the Parties to this Protocol shall be held in conjunction with ordinary meetings of the Contracting Parties to the Convention, held pursuant to Article 14 of the Convention. The Parties to this Protocol may also hold extraordinary meetings as provided in Article 14 of the Convention.",1 . Les réunions ordinaires des parties au présent protocole se tiennent lors des réunions ordinaires des parties contractantes à la convention organisées en application de l'article 14 de ladite convention . Les parties au présent protocole peuvent aussi tenir des réunions extraordinaires conformément à l'article 14 de la convention .
"2. It shall be the function of the meetings of the Parties to this Protocol, in particular: (a) to keep under review the implementation of this Protocol, and to consider the efficacy of the measures adopted and the need for any other measures, in particular in the form of Annexes;",
(b) to review and amend as required any Annex to this Protocol;,"b ) de réviser et d'amender , le cas échéant , toute annexe au présent protocole ;"
(c) To discharge such other functions as may be appropriate for implementation of this Protocol.,c ) de remplir en tant que de besoin toutes autres fonctions en application du présent protocole .
Article 13,Article 13
1. The provisions of the Convention relating to any Protocol shall apply with respect to the present Protocol.,1 . Les dispositions de la convention se rapportant à tout protocole s'applique à l'égard du présent protocole .
"2. The rules of procedure and the financial rules adopted pursuant to Article 18 of the Convention shall apply with respect to this Protocol, unless the Parties to this Protocol agree otherwise.","2 . Le règlement intérieur et les règles financières adoptés conformément à l'article 18 de la convention s'appliquent à l'égard du présent protocole , à moins que les parties au présent protocole n'en conviennent autrement ."
ADDITIONAL PROTOCOL TO THE EUROPEAN AGREEMENT ON THE EXCHANGE OF TISSUE-TYPING REAGENTS,
"THE SIGNATORY STATES TO THE EUROPEAN AGREEMENT ON THE EXCHANGE OF TISSUE-TYPING REAGENTS,",
"hereinafter called the %quot%Agreement%quot%,",
"Recalling the provisions of Article 5 (1) of the Agreement, whereby the Contracting Parties shall take all necessary measures to exempt from all import duties the tissue-typing reagents placed at their disposal by the other Parties;",
"Whereas, with regard to the Member States of the European Economic Community, the undertaking to grant such exemption falls within the competence of the said Community which possesses the necessary powers for this purpose by virtue of the Treaty establishing the Community;",
"Whereas, for the purposes of applying Article 5 (1) of the Agreement, the European Economic Community should therefore be a Contracting Party to the Agreement,",
HAVE AGREED AS FOLLOWS:,
Article 1,
The European Economic Community may become a Contracting Party to the Agreement by virtue of signing that Agreement.,
Article 2,
This Additional Protocol shall be open for signature by the States signatory to the Agreement who may become party to the Additional Protocol by following the procedure laid down in Article 7 of the Agreement.,
Article 3,
"No Member State may become a Contracting Party to the Agreement without at the same time becoming a Contracting Party to this Additional Protocol, which shall form an integral part of the Agreement.",
Article 4,
This Additional Protocol shall enter into force at the same time as the Agreement.,
Article 5,
The Secretary-General of the Council of Europe shall notify Member States of the Council and the European Economic Community of: (a) all signatures of this Additional Protocol;,
(b) the deposit of all instruments of ratification or of acceptance;,
(c) the date of entry into force of this Additional Protocol.,
Agreement in the form of an exchange of letters amending Table I annexed to Protocol 2 to the Agreement between the European Economic Community and the Republic of Iceland,
Agreement in the form of an exchange of letters amending Tables I and II annexed to Protocol 2 to the Agreement between the European Economic Community and the Swiss Confederation,
*****,
COOPERATION AGREEMENT,
"concerning terminology, in the form of an Exchange of Letters between the Swiss Confederation, represented by the Swiss Federal Council, and the European Economic Community (EEC), the European Coal and Steel Community (ECSC), and the European Atomic Energy Community (EURATOM), represented by the Commission of the European Communities",
"(88/85/ECSC, EEC, Euratom)",
(Letter from the Commission),
"Order of the Court (Fourth Chamber) of 9 February 2006 (reference for a preliminary ruling from the Komárom-Esztergom Megyei Bíróság) — Lakép Kft., Pár-Bau Kft., Rottelma Kft.",
Order of the Court (Sixth Chamber) of 9 February 2006 — Hippocrate Vounakis,
Reference for a preliminary ruling from the Finanzgericht des Landes Brandenburg lodged on 30 January 2006 — Campina GmbH %amp% G. formerly TUFFI Campina emzett GmbH,
"Reference for a preliminary ruling from the Consiglio di Stato, Quinta Sezione lodged on 20 March 2006 — Santorso Soc. coop. arl v Comune di Torino","Demande de décision préjudicielle présentée par le Consiglio di Stato (Italie), cinquième section, le 20 mars 2006 — Santorso Soc. coop. arl/Comune di Torino"
Referring court,Juridiction de renvoi
Consiglio di Stato,"Consiglio di Stato (Italie), cinquième section."
Parties to the main proceedings,Parties dans la procédure au principal
Applicant: Santorso Soc. coop. arl,Partie requérante: Santorso Soc. coop. arl.
Defendant: Comune di Torino and Others,Partie défenderesse: Comune di Torino e.a..
Question(s) referred,Questions préjudicielles
"1. Does the rule laid down in Article 30(4) of Directive 93/37/EEC [1] or the similar rule contained in Art. 55 (1) and (2) of Directive 2004/18/EC [2] (in cases where that is the relevant provision), that, where tenders appear to be abnormally low in relation to the works, the contracting authority shall, before it may reject those tenders, request, in writing, details of the constituent elements of the tender which it considers relevant and shall verify those constituent elements taking account of the explanations received, constitute a fundamental principle of Community law?","1) La règle établie à l'article 30 paragraphe 4 de la directive 93/37/CEE [1], ou celle analogue figurant aux paragraphes 1 et 2 de l'article 55 de la directive 2004/18/CE [2] (si c'est ce dernier qui est considéré comme applicable), selon laquelle, lorsque les offres apparaissent anormalement basses par rapport à la prestation, le pouvoir adjudicateur, avant de pouvoir rejeter ces offres, doit demander, par écrit, des précisions sur la composition de l'offre qu'il juge opportunes et vérifier cette composition en tenant compte des justifications fournies, énonce-t-elle ou non un principe fondamental du droit communautaire?"
